age,gender,enjoy_level,understandability,completion,duration
8,0,1,0,1,40
8,0,1,0,1,30
8,0,1,0,1,45
8,0,1,0,1,40
8,0,1,0,2,35
8,0,1,0,2,40
8,0,1,0,2,38
8,0,1,0,2,32
8,0,1,0,3,30
8,0,1,0,3,30
8,0,1,0,3,30
8,0,1,0,3,30
8,0,1,1,1,35
8,0,1,1,1,38
8,0,1,1,1,32
8,0,1,1,1,39
8,0,1,1,2,32
8,0,1,1,2,34
8,0,1,1,2,40
8,0,1,1,2,32
8,0,1,1,2,38
8,0,1,1,3,32
8,0,1,1,3,33
8,0,1,1,3,35
8,0,1,1,3,30
8,0,1,1,3,31
8,0,2,0,1,30
8,0,2,0,1,28
8,0,2,0,1,32
8,0,2,0,1,35
8,0,2,0,1,40
8,0,2,0,2,28
8,0,2,0,2,30
8,0,2,0,2,32
8,0,2,0,2,26
8,0,2,0,2,29
8,0,2,0,3,25
8,0,2,0,3,28
8,0,2,0,3,23
8,0,2,0,3,30
8,0,2,1,1,32
8,0,2,1,1,35
8,0,2,1,1,37
8,0,2,1,1,27
8,0,2,1,2,25
8,0,2,1,2,27
8,0,2,1,2,30
8,0,2,1,2,22
8,0,2,1,2,24
8,0,2,1,2,26
8,0,2,1,2,23
8,0,2,1,3,22
8,0,2,1,3,24
8,0,2,1,3,25
8,0,2,1,3,28
8,0,2,1,3,20
8,0,2,1,3,22
8,0,2,1,3,24
8,0,3,0,1,30
8,0,3,0,1,28
8,0,3,0,1,25
8,0,3,0,1,32
8,0,3,0,1,34
8,0,3,0,1,32
8,0,3,0,1,31
8,0,3,0,2,28
8,0,3,0,2,32
8,0,3,0,2,40
8,0,3,0,2,35
8,0,3,0,2,28
8,0,3,0,3,25
8,0,3,0,3,24
8,0,3,0,3,20
8,0,3,0,3,22
8,0,3,0,3,23
8,0,3,0,3,39
8,0,3,0,3,30
8,0,3,1,1,25
8,0,3,1,1,24
8,0,3,1,1,20
8,0,3,1,1,22
8,0,3,1,1,30
8,0,3,1,2,22
8,0,3,1,2,24
8,0,3,1,2,26
8,0,3,1,2,20
8,0,3,1,2,25
8,0,3,1,3,20
8,0,3,1,3,21
8,0,3,1,3,23
8,0,3,1,3,25
8,0,3,1,3,24
8,1,1,0,1,35
8,1,1,0,1,34
8,1,1,0,1,30
8,1,1,0,1,38
8,1,1,0,1,33
8,1,1,0,1,36
8,1,1,0,1,37
8,1,1,0,2,30
8,1,1,0,2,32
8,1,1,0,2,34
8,1,1,0,2,33
8,1,1,0,2,28
8,1,1,0,2,35
8,1,1,0,2,28
8,1,1,0,3,25
8,1,1,0,3,23
8,1,1,0,3,26
8,1,1,0,3,28
8,1,1,0,3,30
8,1,1,1,1,30
8,1,1,1,1,28
8,1,1,1,1,32
8,1,1,1,1,31
8,1,1,1,1,35
8,1,1,1,1,29
8,1,1,1,1,33
8,1,1,1,2,28
8,1,1,1,2,26
8,1,1,1,2,27
8,1,1,1,2,32
8,1,1,1,2,30
8,1,1,1,3,25
8,1,1,1,3,28
8,1,1,1,3,27
8,1,1,1,3,30
8,1,1,1,3,24
8,1,2,0,1,25
8,1,2,0,1,26
8,1,2,0,1,23
8,1,2,0,1,28
8,1,2,0,1,27
8,1,2,0,1,24
8,1,2,0,1,26
8,1,2,0,2,22
8,1,2,0,2,23
8,1,2,0,2,24
8,1,2,0,2,25
8,1,2,0,2,20
8,1,2,0,2,21
8,1,2,0,3,20
8,1,2,0,3,21
8,1,2,0,3,23
8,1,2,0,3,27
8,1,2,0,3,20
8,1,2,1,1,25
8,1,2,1,1,24
8,1,2,1,1,22
8,1,2,1,1,26
8,1,2,1,1,28
8,1,2,1,1,30
8,1,2,1,2,20
8,1,2,1,2,22
8,1,2,1,2,23
8,1,2,1,2,25
8,1,2,1,2,29
8,1,2,1,3,18
8,1,2,1,3,20
8,1,2,1,3,19
8,1,2,1,3,21
8,1,2,1,3,23
8,1,2,1,3,22
8,1,3,0,1,25
8,1,3,0,1,27
